NOME;RENDA;GINI;CMI
Areia de Baraúnas (PB);126.9;0.46;59.52
Areial (PB);176.23;0.53;46.06
Areia (PB);179.98;0.57;47.4
Areias (SP);396.78;0.6;23.4
Areiópolis (SP);400.76;0.36;21.8
Arenápolis (MT);366.4;0.52;35.18
Arenópolis (GO);360.4;0.5;33.3
Arês (RN);189.39;0.53;56.21
Argirita (MG);343.88;0.51;27.05
Aricanduva (MG);152.94;0.5;39.15
Arinos (MG);242.04;0.55;29.71
Aripuanã (MT);558.26;0.56;31.49
Ariquemes (RO);530.87;0.57;21.68
Ariranha do Ivaí (PR);288.32;0.54;34.12
Ariranha (SP);506.21;0.4;20.7
Armação dos Búzios (RJ);762.32;0.54;20.14
Armazém (SC);545.88;0.51;20.3
Arneiroz (CE);110.01;0.53;59.91
Aroazes (PI);147.26;0.52;50.16
Aroeiras do Itaim (PI);69.52;0.48;49.76
Aroeiras (PB);147.8;0.55;49.8
Arraial do Cabo (RJ);603.14;0.49;20.73
Arraial (PI);138.47;0.55;38.89
Arraias (TO);286.18;0.63;35.38
Arroio do Meio (RS);725.44;0.45;15.2
Arroio do Padre (RS);429.21;0.4;18.1
Arroio do Sal (RS);619.14;0.5;14.6
Arroio dos Ratos (RS);443.99;0.5;19.9
Arroio do Tigre (RS);415.31;0.51;22.2
Arroio Grande (RS);456.53;0.56;23.6
Arroio Trinta (SC);493.08;0.46;15.4
Artur Nogueira (SP);634.06;0.49;17.6
Aruanã (GO);349.01;0.5;26.1
Arujá (SP);684.36;0.57;18.3
Arvoredo (SC);393;0.47;19
Arvorezinha (RS);561.8;0.48;24.4
Ascurra (SC);538.5;0.39;24.3
Aspásia (SP);350.36;0.49;16.7
Assaí (PR);397.23;0.55;26.6
Assaré (CE);127.68;0.59;56.43
Assis Brasil (AC);199.63;0.6;27.61
Assis Chateaubriand (PR);676.1;0.58;20.5
Assis (SP);794.13;0.52;17.2
Assunção do Piauí (PI);141.79;0.51;56.71
Assunção (PB);178.82;0.54;55.49
Astolfo Dutra (MG);429.89;0.49;19.29
Astorga (PR);533.05;0.54;28.19
Atalaia (AL);152.85;0.5;36.38
Atalaia do Norte (AM);147.86;0.74;47.6
Atalaia (PR);455.24;0.46;20.69
Atalanta (SC);542.07;0.44;26.8
Ataléia (MG);220.37;0.55;35.42
Atibaia (SP);884.14;0.55;17.4
Atilio Vivacqua (ES);330.86;0.51;26.18
Augustinópolis (TO);211.99;0.58;46.75
Augusto Corrêa (PA);134.87;0.5;36.34
Augusto de Lima (MG);274.88;0.43;34.42
Augusto Pestana (RS);466.05;0.49;15.6
Augusto Severo (RN);192.88;0.62;55.75
Áurea (RS);326.77;0.47;20.8
Aurelino Leal (BA);123.46;0.48;51.19
Auriflama (SP);641.72;0.54;23.2
Aurilândia (GO);327.63;0.48;25.6
Aurora (CE);136.33;0.53;50.76
Aurora do Pará (PA);169.67;0.56;36
Aurora do Tocantins (TO);175.97;0.63;41.23
Aurora (SC);536.69;0.46;18.4
Autazes (AM);187.62;0.66;39.86
Avaí (SP);420.48;0.48;19.6
Avanhandava (SP);421.21;0.53;20.4
Avaré (SP);735.8;0.55;16.6
Aveiro (PA);103.81;0.6;35.75
Avelino Lopes (PI);104.55;0.55;54.95
Avelinópolis (GO);378.97;0.55;25
Axixá do Tocantins (TO);149.7;0.5;57.33
Axixá (MA);118.31;0.54;48.69
Babaçulândia (TO);134.07;0.49;45.44
Bacabal (MA);201.74;0.55;48.15
Bacabeira (MA);119.08;0.51;48.99
Bacuri (MA);143.91;0.58;52.87
Bacurituba (MA);107.3;0.55;67.37
Bady Bassitt (SP);622.63;0.45;21.2
Baependi (MG);391.41;0.54;22.75
Bagé (RS);593.18;0.58;18.2
Bagre (PA);112.14;0.48;44.36
Baía da Traição (PB);129.02;0.57;55.7
Baía Formosa (RN);173.37;0.5;43.38
Baianópolis (BA);148.44;0.57;52.02
Baião (PA);162.04;0.53;36.34
Baixa Grande (BA);148.57;0.53;35.98
Baixa Grande do Ribeiro (PI);130.98;0.56;52.53
Baixio (CE);131.46;0.53;59.08
Baixo Guandu (ES);371.49;0.51;26.18
Balbinos (SP);454.58;0.42;21.3
Baldim (MG);316.74;0.5;25.8
Baliza (GO);330.53;0.56;27.1
Balneário Arroio do Silva (SC);501.54;0.51;18.2
Balneário Barra do Sul (SC);484.72;0.44;18.8
Balneário Camboriú (SC);1563.49;0.55;15.47
Balneário Gaivota (SC);431.14;0.47;22.2
Balneário Piçarras (SC);633.21;0.53;21.1
Balneário Pinhal (RS);621.31;0.5;21.4
Bálsamo (SP);832.51;0.48;14.6
Balsa Nova (PR);401.2;0.47;25.61
Balsas (MA);353.17;0.58;33.41
Bambuí (MG);481.24;0.49;18.68
Banabuiú (CE);166.55;0.55;43.61
Bananal (SP);515.51;0.59;17.7
Bananeiras (PB);146.15;0.59;40.58
Bandeira do Sul (MG);464.72;0.4;21.91
Bandeira (MG);165.99;0.48;37.49
Bandeirante (SC);363.22;0.47;29.7
Bandeirantes do Tocantins (TO);278;0.55;44.26
Bandeirantes (MS);396.73;0.51;25.09
Bandeirantes (PR);454.61;0.51;30.41
Bannach (PA);246.16;0.62;29.34
Banzaê (BA);131.94;0.46;47.88
Barão de Antonina (SP);347.4;0.51;22.6
Barão de Cocais (MG);343.61;0.48;26.71
Barão de Cotegipe (RS);503.89;0.54;23.2
Barão de Grajaú (MA);151.92;0.53;44.56
Barão de Melgaço (MT);236.31;0.5;30.06
Barão de Monte Alto (MG);258.12;0.49;33.72
Barão do Triunfo (RS);347.25;0.47;25.3
Barão (RS);546.17;0.41;17.6
Baraúna (PB);153.98;0.51;58.76
Baraúna (RN);188.08;0.52;59.02
Barbacena (MG);560.59;0.58;21.67
Barbalha (CE);233.87;0.6;40.66
Barbosa Ferraz (PR);316.66;0.58;29.02
Barbosa (SP);378.92;0.44;25.1
Barcarena (PA);348.03;0.56;27
Barcelona (RN);149.2;0.5;47.18
Barcelos (AM);217.27;0.64;41.29
Bariri (SP);666.41;0.48;13.4
Barra (BA);114.46;0.59;45.71
Barra Bonita (SC);288.54;0.4;29.7
Barra Bonita (SP);784;0.48;17.1
Barracão (PR);458.96;0.57;26.29
Barracão (RS);337.11;0.59;11.4
Barra da Estiva (BA);186.71;0.53;37.16
Barra D'Alcântara (PI);129.14;0.51;45.72
Barra de Guabiraba (PE);149.05;0.5;78.79
Barra de Santana (PB);125.48;0.53;52.88
Barra de Santa Rosa (PB);135.71;0.48;47.95
Barra de Santo Antônio (AL);140.2;0.48;43.62
Barra de São Francisco (ES);365.47;0.57;25.83
Barra de São Miguel (AL);218;0.54;40.18
Barra de São Miguel (PB);182.14;0.45;59.7
Barra do Bugres (MT);384.48;0.55;30.37
Barra do Chapéu (SP);203.69;0.59;30.4
Barra do Choça (BA);140.4;0.44;47.63
Barra do Corda (MA);196.81;0.64;46.22
Barra do Garças (MT);594.31;0.59;27.41
Barra do Guarita (RS);290.29;0.48;19.9
Barra do Jacaré (PR);403.65;0.5;29.39
Barra do Mendes (BA);174.25;0.54;42.86
Barra do Ouro (TO);117.2;0.55;45.93
Barra do Piraí (RJ);543.44;0.52;21.25
Barra do Quaraí (RS);476.44;0.59;28.6
Barra do Ribeiro (RS);519.61;0.54;16.7
Barra do Rio Azul (RS);454.63;0.55;20.8
Barra do Rocha (BA);162.51;0.52;65
Barra dos Coqueiros (SE);260.11;0.54;39.49
Barra do Turvo (SP);215.88;0.53;24.5
Barra Funda (RS);405.05;0.43;17.7
Barra Longa (MG);228.2;0.52;33.65
Barra Mansa (RJ);569.44;0.52;16.74
Barras (PI);145.6;0.54;48.16
Barra Velha (SC);559.51;0.47;19.7
Barreira (CE);147.18;0.52;59.08
Barreiras (BA);432.93;0.6;34.71
Barreiras do Piauí (PI);168.34;0.51;39.73
Barreirinha (AM);122.12;0.58;41.29
Barreirinhas (MA);119.52;0.61;50.93
Barreiros (PE);206.61;0.56;62.69
Barretos (SP);782.49;0.54;17.4
Barrinha (SP);440.98;0.43;22.4
Barro Alto (BA);151.5;0.47;51.06
Barro Alto (GO);275.22;0.46;21.9
Barrocas (BA);163;0.52;42.81
Barro (CE);166.99;0.5;37.93
Barro Duro (PI);189.43;0.54;39.85
Barrolândia (TO);275.33;0.53;34.09
Barro Preto (BA);167.44;0.49;53.66
Barroquinha (CE);117.28;0.52;70.03
Barros Cassal (RS);307.18;0.53;26.5
Barroso (MG);376.72;0.52;25.07
Barueri (SP);994.81;0.61;18.3
Bastos (SP);491.64;0.5;18.8
Bataguassu (MS);431.19;0.52;25.09
Batalha (AL);246.02;0.55;54.28
Batalha (PI);123.62;0.55;50.16
Batatais (SP);717.67;0.52;15
Batayporã (MS);278.14;0.56;31.26
Baturité (CE);210.55;0.52;56.43
Bauru (SP);987.7;0.55;18
Bayeux (PB);233.25;0.45;35.92
Bebedouro (SP);672.76;0.51;16.1
Beberibe (CE);159.43;0.55;36.19
Bela Cruz (CE);124.25;0.54;63.28
Belágua (MA);84.11;0.63;53.25
Bela Vista da Caroba (PR);239.45;0.51;23.91
Bela Vista de Goiás (GO);386.79;0.51;23.8
Bela Vista de Minas (MG);314.6;0.45;37.12
Bela Vista do Maranhão (MA);108.79;0.5;55.45
Bela Vista do Paraíso (PR);516.13;0.55;22
Bela Vista do Piauí (PI);105.59;0.56;60.29
Bela Vista do Toldo (SC);231.98;0.47;30.7
Bela Vista (MS);447.5;0.68;26.2
Belém (AL);144.86;0.56;46.35
Belém de Maria (PE);139.85;0.54;69.58
Belém do Brejo do Cruz (PB);138.93;0.47;43.55
Belém do Piauí (PI);107.98;0.5;60.29
Belém do São Francisco (PE);227.6;0.6;47.66
Belém (PA);625.48;0.61;26.45
Belém (PB);167.03;0.49;48.92
Belford Roxo (RJ);378.74;0.44;22.7
Belmiro Braga (MG);293.93;0.49;24.08
Belmonte (BA);231.77;0.56;48.48
Belmonte (SC);299.75;0.49;26.4
Belo Campo (BA);198.83;0.51;42.75
Belo Horizonte (MG);1101.96;0.61;22.86
Belo Jardim (PE);235.46;0.52;62.1
Belo Monte (AL);108.35;0.56;52.4
Belo Oriente (MG);276;0.47;36.23
Belo Vale (MG);311.87;0.47;27.44
Belterra (PA);126;0.58;43.48
Beneditinos (PI);154.26;0.55;41.27
Benedito Leite (MA);141.05;0.54;53.25
Benedito Novo (SC);482.89;0.37;19.8
Benevides (PA);279.63;0.54;39.45
Benjamin Constant (AM);141.53;0.61;44.48
Benjamin Constant do Sul (RS);223.36;0.53;23.6
Bento de Abreu (SP);414.72;0.38;18.3
Bento Fernandes (RN);104.66;0.51;64.69
Bento Gonçalves (RS);918.21;0.47;13.9
Bequimão (MA);99.59;0.55;53.01
Berilo (MG);190.59;0.5;26.52
Berizal (MG);123.32;0.44;42.48
Bernardino Batista (PB);133.24;0.55;60.68
Bernardino de Campos (SP);554.67;0.51;19.7
Bernardo do Mearim (MA);143.07;0.46;51.47
Bernardo Sayão (TO);347.03;0.58;44.62
Bertioga (SP);679.76;0.48;22.8
Bertolínia (PI);150.04;0.61;37.56
Bertópolis (MG);175.15;0.56;36.29
Beruri (AM);135.76;0.62;53.21
Betânia do Piauí (PI);76.35;0.54;66.61
Betânia (PE);114.71;0.52;58.96
Betim (MG);412.88;0.5;23.6
Bezerros (PE);239.31;0.52;68.33
Bias Fortes (MG);198.97;0.45;28.94
Bicas (MG);662.21;0.57;22.86
Biguaçu (SC);610.99;0.47;22
Bilac (SP);622.46;0.48;13.8
Biquinhas (MG);347.77;0.45;21.59
Birigui (SP);734.42;0.47;18.8
