NOME;RENDA;GINI;CMI
Biritiba-Mirim (SP);495.73;0.51;24.9
Biritinga (BA);159.21;0.55;56.49
Bituruna (PR);333.1;0.49;28.6
Blumenau (SC);910.29;0.47;21.33
Boa Esperança do Iguaçu (PR);331.03;0.49;24.71
Boa Esperança do Sul (SP);487.27;0.46;20.7
Boa Esperança (ES);342.88;0.54;27.29
Boa Esperança (MG);547.01;0.58;19.6
Boa Esperança (PR);336.57;0.52;30.99
Boa Hora (PI);119.8;0.51;46.16
Boa Nova (BA);105.38;0.59;46.22
Boa Ventura de São Roque (PR);357.81;0.51;34.7
Boa Ventura (PB);129.79;0.5;42.22
Boa Viagem (CE);162.68;0.59;53.37
Boa Vista da Aparecida (PR);361.45;0.54;33.4
Boa Vista das Missões (RS);484.2;0.54;20.4
Boa Vista do Buricá (RS);552.56;0.49;16.9
Boa Vista do Cadeado (RS);383.78;0.5;14
Boa Vista do Gurupi (MA);123.71;0.52;55.64
Boa Vista do Incra (RS);500.03;0.51;13.6
Boa Vista do Ramos (AM);127.87;0.59;51.85
Boa Vista do Sul (RS);814.28;0.48;13
Boa Vista do Tupim (BA);120.13;0.56;47.46
Boa Vista (PB);243.81;0.52;32.31
Boa Vista (RR);592.6;0.57;27.6
Boca da Mata (AL);170.78;0.51;44.22
Boca do Acre (AM);191.39;0.61;46.81
Bocaina de Minas (MG);373.78;0.54;24.46
Bocaina do Sul (SC);266.32;0.41;30.8
Bocaina (PI);225.15;0.53;36.38
Bocaina (SP);603.63;0.45;14.6
Bocaiúva do Sul (PR);374.46;0.5;31.02
Bocaiúva (MG);285.97;0.55;21.49
Bodocó (PE);150.64;0.63;52.77
Bodoquena (MS);339.43;0.51;40.37
Bodó (RN);147.9;0.52;55.75
Bofete (SP);579.27;0.5;17.7
Boituva (SP);658.14;0.49;17.7
Bombinhas (SC);616.95;0.46;21.5
Bom Conselho (PE);159.67;0.62;81.84
Bom Despacho (MG);647.07;0.53;22.58
Bom Jardim da Serra (SC);433.71;0.57;19.5
Bom Jardim de Goiás (GO);354.7;0.5;29
Bom Jardim de Minas (MG);310.57;0.5;20.74
Bom Jardim (MA);107.97;0.61;52.87
Bom Jardim (PE);146.89;0.48;57.74
Bom Jardim (RJ);477.65;0.54;21.96
Bom Jesus da Lapa (BA);247.5;0.6;46.77
Bom Jesus da Penha (MG);412.92;0.51;22.28
Bom Jesus da Serra (BA);97.03;0.52;46.22
Bom Jesus das Selvas (MA);151.55;0.57;51.47
Bom Jesus de Goiás (GO);468.04;0.52;22.8
Bom Jesus do Amparo (MG);362.16;0.56;28.72
Bom Jesus do Araguaia (MT);363.1;0.55;32.3
Bom Jesus do Galho (MG);214.77;0.5;36.66
Bom Jesus do Itabapoana (RJ);475.1;0.56;19.6
Bom Jesus do Norte (ES);396.45;0.49;20.47
Bom Jesus do Oeste (SC);278.83;0.43;19
Bom Jesus dos Perdões (SP);581.26;0.49;21.4
Bom Jesus do Sul (PR);217.03;0.49;31.03
Bom Jesus do Tocantins (PA);210.85;0.58;44.36
Bom Jesus do Tocantins (TO);188.38;0.5;34.79
Bom Jesus (PB);148.53;0.51;43.55
Bom Jesus (PI);262.87;0.64;34.09
Bom Jesus (RN);164.57;0.54;42.06
Bom Jesus (RS);408.2;0.54;22.9
Bom Jesus (SC);314.91;0.55;26.4
Bom Lugar (MA);96.88;0.49;53.3
Bom Princípio do Piauí (PI);135.15;0.49;50.16
Bom Princípio (RS);609.97;0.4;16.4
Bom Progresso (RS);292.49;0.52;19.8
Bom Repouso (MG);447.85;0.46;23.4
Bom Retiro do Sul (RS);535.23;0.43;20.4
Bom Retiro (SC);410.52;0.49;24.3
Bom Sucesso de Itararé (SP);266.51;0.5;25.6
Bom Sucesso do Sul (PR);377.52;0.53;25.61
Bom Sucesso (MG);410.74;0.56;22.95
Bom Sucesso (PB);155.3;0.52;37.3
Bom Sucesso (PR);357.11;0.52;27.33
Bonfim do Piauí (PI);165.8;0.48;42.58
Bonfim (MG);306.87;0.5;30.2
Bonfim (RR);202.84;0.66;32.17
Bonfinópolis de Minas (MG);311.58;0.6;22.29
Bonfinópolis (GO);394.13;0.48;23.4
Boninal (BA);157.73;0.53;34.11
Bonito (BA);149.09;0.44;69.84
Bonito de Minas (MG);85.69;0.57;44.61
Bonito de Santa Fé (PB);169.54;0.55;44.27
Bonito (MS);463.41;0.58;19.57
Bonito (PA);160.09;0.49;45.39
Bonito (PE);215.48;0.55;70.39
Bonópolis (GO);259.39;0.54;34.3
Boqueirão do Leão (RS);377.86;0.47;16.1
Boqueirão do Piauí (PI);93.27;0.5;44.64
Boqueirão (PB);177.72;0.48;47.59
Boquim (SE);213.63;0.54;47.08
Boquira (BA);160.09;0.61;37.18
Boracéia (SP);507.98;0.43;15.5
Borá (SP);462.6;0.47;18.5
Borba (AM);191.74;0.64;50.4
Borborema (PB);166.66;0.54;47.4
Borborema (SP);536.25;0.5;19.6
Borda da Mata (MG);545.35;0.5;24.17
Borebi (SP);369.47;0.39;22.3
Borrazópolis (PR);311.33;0.47;24.5
Bossoroca (RS);319.19;0.6;19.6
Botelhos (MG);630.12;0.59;16.82
Botucatu (SP);840.51;0.54;18.2
Botumirim (MG);156.35;0.51;32.04
Botuporã (BA);96.93;0.61;37.21
Botuverá (SC);564.51;0.4;19.1
Bozano (RS);525.38;0.46;16
Braço do Norte (SC);831.77;0.46;19.3
Braço do Trombudo (SC);461.35;0.43;18
Bragança (PA);206;0.56;45.94
Bragança Paulista (SP);787.6;0.53;18.3
Braganey (PR);235.4;0.52;33.19
Braga (RS);246.58;0.52;23.1
Branquinha (AL);121.11;0.42;67.07
Brasilândia de Minas (MG);380.15;0.5;26.71
Brasilândia do Sul (PR);356.01;0.45;31.59
Brasilândia do Tocantins (TO);228.01;0.53;37.41
Brasilândia (MS);552.41;0.53;27.76
Brasiléia (AC);277.15;0.58;30.71
Brasileira (PI);123.18;0.52;44.89
Brasília de Minas (MG);227.5;0.57;32.42
Brasília (DF);1199.44;0.63;20.71
Brasil Novo (PA);289.98;0.55;36.05
Brasnorte (MT);528.19;0.53;20.94
Brasópolis (MG);461.47;0.56;29.98
Brás Pires (MG);176.42;0.53;28.43
Braúnas (MG);190.87;0.56;35.43
Braúna (SP);498.47;0.47;19
Brazabrantes (GO);298.58;0.43;29.6
Brejão (PE);126.55;0.49;77.67
Brejetuba (ES);389.27;0.59;26.15
Brejinho de Nazaré (TO);235.47;0.56;37.05
Brejinho (PE);115.88;0.6;73.83
Brejinho (RN);189.12;0.49;47.12
Brejo Alegre (SP);356.64;0.39;22.9
Brejo da Madre de Deus (PE);202.67;0.49;70.35
Brejo de Areia (MA);111.01;0.49;70.34
Brejo do Cruz (PB);208.23;0.47;35.24
Brejo do Piauí (PI);111.56;0.46;54.95
Brejo dos Santos (PB);183.07;0.52;48.28
Brejões (BA);203.07;0.48;39.74
Brejo Grande do Araguaia (PA);222.21;0.55;34.23
Brejo Grande (SE);118.53;0.51;59.59
Brejolândia (BA);126.81;0.56;36.3
Brejo (MA);100.25;0.64;52.12
Brejo Santo (CE);226.92;0.61;36.25
Breu Branco (PA);252.31;0.54;40.9
Breves (PA);170.14;0.58;36.34
Britânia (GO);343.94;0.5;23.6
Brochier (RS);481.02;0.4;16.2
Brodowski (SP);626.7;0.44;16.1
Brotas de Macaúbas (BA);124.8;0.59;46.02
Brotas (SP);685.16;0.51;22.2
Brumadinho (MG);536.73;0.57;25.07
Brumado (BA);277.65;0.57;35.33
Brunópolis (SC);284.54;0.47;24.2
Brusque (SC);817.76;0.41;13.31
Bueno Brandão (MG);473.49;0.47;18.21
Buenópolis (MG);308.4;0.56;40.98
Buenos Aires (PE);147.21;0.45;52.58
Buerarema (BA);175.14;0.53;50.13
Bugre (MG);181.64;0.44;33.68
Buíque (PE);119.37;0.57;51.32
Bujari (AC);238.86;0.58;28.33
Bujaru (PA);154.48;0.52;35.11
Buri (SP);347.33;0.51;29.4
Buritama (SP);581.57;0.48;23.6
Buriti Alegre (GO);433.7;0.52;24.4
Buriti Bravo (MA);123.43;0.56;50.07
Buriticupu (MA);194.87;0.6;55.92
Buriti de Goiás (GO);248.59;0.41;31.7
Buriti dos Lopes (PI);143.81;0.54;56.28
Buriti dos Montes (PI);125.97;0.56;46.16
Buriti do Tocantins (TO);145.99;0.56;61.26
Buriti (MA);107.6;0.54;60.48
Buritinópolis (GO);116.72;0.62;27
Buritirama (BA);82.03;0.57;45.71
Buritirana (MA);99.74;0.5;56.56
Buritis (MG);488.75;0.57;33.81
Buritis (RO);458.05;0.5;32.95
Buritizal (SP);453.19;0.45;21
Buritizeiro (MG);208.76;0.52;39.57
Butiá (RS);432.61;0.47;22.3
Caapiranga (AM);160.79;0.53;47.6
Caaporã (PB);173.23;0.47;51.45
Caarapó (MS);341.75;0.58;29.51
Caatiba (BA);142.55;0.39;46.22
Cabaceiras do Paraguaçu (BA);133.14;0.54;50.02
Cabaceiras (PB);187.65;0.5;38.73
Cabeceira Grande (MG);283.91;0.49;24.94
Cabeceiras do Piauí (PI);86.79;0.53;48.9
Cabeceiras (GO);293.23;0.56;34
Cabedelo (PB);611.5;0.66;34.54
Cabixi (RO);342.46;0.58;31.99
Cabo de Santo Agostinho (PE);270.17;0.53;40.97
Cabo Frio (RJ);630.38;0.55;16.67
Cabo Verde (MG);571.6;0.58;27.97
Cabrália Paulista (SP);361.53;0.43;24.3
Cabreúva (SP);545.71;0.46;18.5
Cabrobó (PE);221.03;0.58;47.24
Caçador (SC);542.59;0.53;20.6
Caçapava do Sul (RS);453.2;0.54;18.4
Caçapava (SP);723.04;0.52;16.2
Cacaulândia (RO);447.09;0.56;27.61
Cacequi (RS);356.93;0.52;24.4
Cáceres (MT);442.8;0.55;25.29
Cachoeira Alta (GO);533.77;0.59;26.9
Cachoeira (BA);239.23;0.59;40.57
Cachoeira da Prata (MG);414.89;0.46;24.21
Cachoeira de Goiás (GO);321.63;0.47;30.4
Cachoeira de Minas (MG);386.44;0.46;19.78
Cachoeira de Pajeú (MG);155.69;0.53;43.3
Cachoeira do Arari (PA);209.79;0.6;35.11
Cachoeira do Piriá (PA);100.36;0.58;46.14
Cachoeira dos Índios (PB);146.09;0.51;43.64
Cachoeira do Sul (RS);570;0.57;14
Cachoeira Dourada (GO);439.47;0.48;22.9
Cachoeira Dourada (MG);485.31;0.53;22.38
Cachoeira Grande (MA);76.32;0.48;48.79
Cachoeira Paulista (SP);555.87;0.54;16.5
Cachoeiras de Macacu (RJ);438.38;0.49;17.66
Cachoeirinha (PE);247.57;0.53;47.66
Cachoeirinha (RS);628.97;0.46;15.2
Cachoeirinha (TO);103.17;0.47;45.13
Cachoeiro de Itapemirim (ES);544.76;0.54;25.83
Cacimba de Areia (PB);133.23;0.49;48.28
Cacimba de Dentro (PB);123.96;0.58;44.55
Cacimbas (PB);78.85;0.53;69.03
Cacimbinhas (AL);142.84;0.6;54.52
Cacique Doble (RS);337.7;0.51;25.5
Cacoal (RO);456.63;0.57;21.27
Caconde (SP);493.61;0.53;17.8
Caçu (GO);550.81;0.58;22.2
Caculé (BA);299.03;0.62;31.05
Caém (BA);121.08;0.54;65.59
Caetanópolis (MG);466.19;0.45;29.02
Caetanos (BA);129.49;0.5;46.22
Caeté (MG);512.58;0.5;23.77
Caetés (PE);109.32;0.56;75.24
Caetité (BA);205.7;0.63;31.05
Cafarnaum (BA);178.21;0.58;54.59
Cafeara (PR);313.98;0.4;28
Cafelândia (PR);587.75;0.52;28.2
Cafelândia (SP);620.25;0.53;17.3
Cafezal do Sul (PR);400.1;0.48;28.3
Caiabu (SP);329.55;0.4;18.6
Caiana (MG);400.49;0.49;31.15
Caiapônia (GO);372.39;0.55;22.7
Caibaté (RS);411.94;0.52;20.2
Caibi (SC);567.75;0.55;19.5
Caiçara do Norte (RN);132.08;0.47;48.25
Caiçara do Rio do Vento (RN);153.85;0.49;59.46
Caiçara (PB);147.99;0.51;55.44
Caiçara (RS);415.22;0.57;17.7
Caicó (RN);409.68;0.56;22.51
Caieiras (SP);648.98;0.47;16.8
Cairu (BA);165.54;0.49;36.81
Caiuá (SP);288.27;0.48;28.6
Cajamar (SP);618.93;0.54;23.1
Cajapió (MA);79.31;0.49;57.11
Cajari (MA);84.59;0.45;54.74
Cajati (SP);347.32;0.53;24.5
Cajazeiras do Piauí (PI);117.84;0.49;51.12
Cajazeiras (PB);296.35;0.61;32.57
Cajazeirinhas (PB);134.98;0.52;44.55
Cajobi (SP);485.4;0.47;18.9
Cajueiro (AL);127.46;0.46;62.14
Cajueiro da Praia (PI);119.32;0.59;56.28
Cajuri (MG);279.76;0.43;33.72
Cajuru (SP);552.71;0.52;19.9
Calçado (PE);142.25;0.53;76.17
Calçoene (AP);264.85;0.67;47.39
Caldas Brandão (PB);135.39;0.47;59.14
Caldas (MG);517.5;0.54;16.44
Caldas Novas (GO);698.72;0.54;26.2
Caldazinha (GO);488.23;0.47;23.4
Caldeirão Grande (BA);122.43;0.55;48.34
Caldeirão Grande do Piauí (PI);138.47;0.55;53.45
Califórnia (PR);405.51;0.52;30.59
Calmon (SC);197.62;0.47;36.4
Calumbi (PE);135.53;0.54;73.83
Camacan (BA);258.72;0.64;49.21
Camaçari (BA);334.43;0.53;34.32
Camacho (MG);239.88;0.46;27.52
Camalaú (PB);145.33;0.46;48.6
Camamu (BA);150.6;0.54;36.91
Camanducaia (MG);506.23;0.52;20.19
Camapuã (MS);462.09;0.56;25.14
Camaquã (RS);528.6;0.55;17.8
Camaragibe (PE);346.83;0.53;34.81
Camargo (RS);586.14;0.46;18.1
Cambará do Sul (RS);411.87;0.5;18.3
Cambará (PR);481.93;0.52;26.3
Cambé (PR);526.73;0.45;20.99
Cambira (PR);412.58;0.51;20.69
Camboriú (SC);474.88;0.46;23.5
Cambuci (RJ);393.34;0.53;17.26
Cambuí (MG);518.33;0.46;20.19
Cambuquira (MG);528.65;0.59;16.35
Cametá (PA);138.85;0.58;36.52
Camocim (CE);196.83;0.56;55.86
Camocim de São Félix (PE);233.37;0.56;59.51
Campanário (MG);271.77;0.53;32.77
Campanha (MG);556.15;0.54;19.83
Campestre (AL);158.19;0.49;59.52
Campestre da Serra (RS);447.32;0.39;11.2
Campestre de Goiás (GO);302.37;0.43;27.4
Campestre do Maranhão (MA);173.64;0.49;41.53
Campestre (MG);453.11;0.52;21.91
Campinaçu (GO);248.24;0.51;27
Campina da Lagoa (PR);376.46;0.55;27.3
Campina das Missões (RS);316.73;0.45;19.1
Campina do Monte Alegre (SP);399.82;0.53;24.5
Campina do Simão (PR);229.43;0.52;32.77
Campina Grande do Sul (PR);426.01;0.49;20.2
Campina Grande (PB);449.24;0.61;32.57
Campinápolis (MT);280.44;0.61;35.18
Campinas do Piauí (PI);109.8;0.55;48.77
Campinas do Sul (RS);544.03;0.53;17.4
Campinas (SP);1223.77;0.56;18.06
Campina Verde (MG);541.66;0.53;15.91
Campinorte (GO);325.63;0.54;28.4
Campo Alegre (AL);147.16;0.47;44.22
Campo Alegre de Goiás (GO);596.02;0.7;27.1
Campo Alegre de Lourdes (BA);185.85;0.61;46.26
Campo Alegre do Fidalgo (PI);96.2;0.65;51.12
Campo Alegre (SC);435.48;0.49;24
Campo Azul (MG);216.94;0.58;38.39
Campo Belo do Sul (SC);294.73;0.52;30.8
Campo Belo (MG);482.12;0.51;19.07
Campo Bom (RS);726.27;0.46;15.3
Campo Bonito (PR);241.69;0.52;31.59
Campo do Brito (SE);216.94;0.55;27.54
Campo do Meio (MG);391.69;0.47;22.25
Campo do Tenente (PR);284.74;0.49;29.02
Campo Erê (SC);334.69;0.54;26.9
Campo Florido (MG);488.48;0.52;24.92
Campo Formoso (BA);178.76;0.57;50.89
Campo Grande (AL);114.38;0.58;50.57
Campo Grande do Piauí (PI);122.69;0.48;49.76
Campo Grande (MS);782.39;0.59;24.44
Campo Largo do Piauí (PI);78.44;0.51;49.93
Campo Largo (PR);530.78;0.47;20.69
Campo Limpo de Goiás (GO);301.89;0.45;25.2
Campo Limpo Paulista (SP);667.87;0.46;17.4
Campo Magro (PR);449.09;0.43;26.6
Campo Maior (PI);237.51;0.56;34.57
Campo Mourão (PR);559.12;0.54;23.6
Campo Novo de Rondônia (RO);385.24;0.67;31.02
Campo Novo do Parecis (MT);657.92;0.56;25.75
Campo Novo (RS);343.14;0.56;20
Campo Redondo (RN);170.89;0.56;47.18
Campos Altos (MG);490.98;0.52;16.36
Campos Belos (GO);290.2;0.59;31.2
Campos Borges (RS);430.77;0.53;22.6
Campos de Júlio (MT);611.58;0.62;19.02
Campos do Jordão (SP);741.15;0.54;22.1
Campos dos Goytacazes (RJ);490.87;0.56;18.21
Campos Gerais (MG);411.66;0.51;22.02
Campos Lindos (TO);211.95;0.67;57.33
Campos Novos Paulista (SP);390.78;0.48;19.4
Campos Novos (SC);504.63;0.57;20.1
Campos Sales (CE);245.47;0.58;44.54
Campos Verdes (GO);278.73;0.55;34.3
Campo Verde (MT);691.16;0.63;19.82
Camutanga (PE);157.79;0.53;47.66
Canaã dos Carajás (PA);335.44;0.55;35.75
Canaã (MG);221.87;0.53;36.29
Canabrava do Norte (MT);349.71;0.52;32.99
Cananéia (SP);478.57;0.57;17.1
Canapi (AL);90.55;0.6;57.74
Canápolis (BA);164.6;0.49;41.57
Canápolis (MG);386.34;0.5;21.73
Canarana (BA);180.71;0.58;54.59
Canarana (MT);598.73;0.61;27.3
Canas (SP);323.6;0.43;27.1
Cana Verde (MG);377.26;0.45;22.88
Canavieira (PI);97.67;0.51;44.97
Canavieiras (BA);246.32;0.56;42.13
Candeal (BA);143.49;0.44;42.81
Candeias (BA);300.03;0.54;38.73
Candeias do Jamari (RO);384.79;0.52;28.31
Candeias (MG);433.97;0.48;27.5
Candelária (RS);395.23;0.55;17.7
Candiba (BA);140.48;0.5;32.89
Cândido de Abreu (PR);220.44;0.57;34.12
Cândido Godói (RS);380.24;0.53;13.1
Cândido Mendes (MA);120.85;0.44;51.47
Cândido Mota (SP);519.14;0.52;18.1
Cândido Rodrigues (SP);447.76;0.44;19.5
Cândido Sales (BA);223;0.5;42.75
Candiota (RS);487.24;0.51;17.9
Candói (PR);355.87;0.54;36.8
Canela (RS);611.63;0.51;18.3
Canelinha (SC);505.59;0.44;25.3
Canguaretama (RN);148.79;0.49;58.34
Canguçu (RS);349.75;0.5;20.2
Canhoba (SE);132.42;0.52;54.16
Canhotinho (PE);169.06;0.52;69.72
Canindé (CE);153.77;0.58;42.64
Canindé de São Francisco (SE);187.14;0.55;52.43
Canitar (SP);301.02;0.4;23.7
Canoas (RS);703.5;0.51;15.3
Canoinhas (SC);500.86;0.55;23.7
Cansanção (BA);139.37;0.65;54.5
Cantagalo (MG);206.59;0.61;35.42
Cantagalo (PR);298.39;0.61;36.99
Cantagalo (RJ);511.26;0.56;17.37
Cantanhede (MA);89.98;0.55;48.79
Cantá (RR);245.1;0.57;27.6
Canto do Buriti (PI);205.42;0.57;45.01
Canudos (BA);136.36;0.53;60.08
Canudos do Vale (RS);367.82;0.44;15.5
Canutama (AM);130.91;0.61;51.85
Capanema (PA);281.25;0.58;27.12
Capanema (PR);460.51;0.5;29.02
Capão Alto (SC);347.71;0.51;35.4
Capão Bonito do Sul (RS);429.47;0.52;26.1
Capão Bonito (SP);379.53;0.55;23.7
Capão da Canoa (RS);614.43;0.51;15
Capão do Cipó (RS);328.46;0.61;13.8
Capão do Leão (RS);349.63;0.43;22.4
Caparaó (MG);353.96;0.48;20.75
Capela (AL);143.42;0.49;53.51
Capela de Santana (RS);376.26;0.41;17.9
Capela do Alto Alegre (BA);215.52;0.49;41.04
Capela do Alto (SP);382.97;0.48;22.2
Capela Nova (MG);225.53;0.44;28.49
Capela (SE);157.7;0.55;50.48
Capelinha (MG);284.94;0.57;34.42
Capetinga (MG);465.41;0.46;19.57
Capim Branco (MG);340.73;0.42;26.79
Capim Grosso (BA);215.1;0.54;53.13
Capim (PB);121.73;0.44;57.35
Capinópolis (MG);489.88;0.58;22.38
Capinzal do Norte (MA);112.64;0.52;60.54
Capinzal (SC);528.25;0.48;17.9
Capistrano (CE);117.36;0.57;42.86
Capitão Andrade (MG);211.31;0.51;34.51
Capitão de Campos (PI);125.48;0.62;44.1
Capitão Enéas (MG);201.98;0.54;37.25
Capitão Gervásio Oliveira (PI);109.07;0.56;52.82
Capitão Leônidas Marques (PR);497.3;0.53;28.8
Capitão Poço (PA);182.2;0.62;47.69
Capitão (RS);536.35;0.38;18
Capitólio (MG);494.16;0.43;21.52
Capivari de Baixo (SC);459.74;0.41;19.3
Capivari do Sul (RS);823.36;0.65;16.4
Capivari (SP);644;0.48;17.8
Capixaba (AC);227.36;0.55;32.63
Capoeiras (PE);143.8;0.51;65.97
Caputira (MG);346.19;0.57;36.66
Caraá (RS);291.31;0.48;19.7
Caracaraí (RR);322;0.59;31.64
Caracol (MS);264.01;0.49;23.61
Caracol (PI);132.57;0.62;45.53
Caraguatatuba (SP);657.88;0.54;16.9
Caraíbas (BA);149.02;0.59;48.34
Caraí (MG);165.93;0.53;38.95
Carambeí (PR);539.54;0.57;27.25
Caranaíba (MG);208.77;0.45;28.12
Carandaí (MG);322.01;0.54;21.67
Carangola (MG);618.24;0.57;22.88
Carapebus (RJ);402.08;0.42;21.7
Carapicuíba (SP);565.95;0.45;21.3
Caratinga (MG);481.74;0.59;28.45
Carauari (AM);160.01;0.62;55.28
Caraúbas do Piauí (PI);92.78;0.49;44.97
Caraúbas (PB);164.66;0.48;51.07
Caraúbas (RN);173.83;0.54;54.61
Caravelas (BA);376.79;0.56;43.01
Carazinho (RS);625.92;0.56;21
Carbonita (MG);214.57;0.54;36.61
Cardeal da Silva (BA);142.49;0.59;58.11
Cardoso Moreira (RJ);327.08;0.5;24.95
Cardoso (SP);485.48;0.55;19.8
Careaçu (MG);444.88;0.49;18.21
Careiro (AM);145.34;0.64;39.86
Careiro da Várzea (AM);170.78;0.57;41.14
Cariacica (ES);432.25;0.48;21.86
Caridade (CE);132.82;0.51;43
Caridade do Piauí (PI);119.19;0.53;49.76
Carinhanha (BA);133.12;0.51;45.71
Carira (SE);181.37;0.51;43.34
Cariré (CE);133.29;0.54;43.77
Caririaçu (CE);122.43;0.53;63.77
Cariri do Tocantins (TO);386.4;0.5;31.25
Cariús (CE);130.21;0.62;38.23
Carlinda (MT);262.79;0.52;32.94
Carlópolis (PR);408.15;0.49;24.69
Carlos Barbosa (RS);881.52;0.42;15.1
Carlos Chagas (MG);325.21;0.62;31.15
Carlos Gomes (RS);493.71;0.43;17.8
Carmésia (MG);242.84;0.56;29.7
Carmo da Cachoeira (MG);397.3;0.5;22.25
Carmo da Mata (MG);464.32;0.53;31.16
Carmo de Minas (MG);390.13;0.55;22.75
Carmo do Cajuru (MG);376.39;0.44;20.08
Carmo do Paranaíba (MG);546.06;0.52;16.01
Carmo do Rio Claro (MG);399.97;0.52;17.89
Carmo do Rio Verde (GO);328.06;0.48;26.7
Carmolândia (TO);171.94;0.48;40.03
Carmópolis de Minas (MG);416.05;0.52;22.95
Carmópolis (SE);228.71;0.56;38.76
Carmo (RJ);547.72;0.52;17.37
Carnaíba (PE);132.2;0.58;73.83
Carnaúba dos Dantas (RN);321.89;0.42;30.48
Carnaubais (RN);258.54;0.52;44.36
Carnaubal (CE);151.19;0.54;60.96
Carnaubeira da Penha (PE);77.98;0.56;69.48
Carneirinho (MG);502.07;0.59;20.24
Carneiros (AL);117.4;0.53;66.63
Caroebe (RR);266.73;0.68;38.91
Carolina (MA);232.35;0.56;38.58
Carpina (PE);347.72;0.57;34.96
Carrancas (MG);366.32;0.59;22.38
Carrapateira (PB);160.62;0.5;48.6
Carrasco Bonito (TO);112.41;0.56;61.58
Caruaru (PE);416.02;0.55;47.66
Carutapera (MA);114.78;0.54;53.15
Carvalhópolis (MG);299.36;0.43;18.88
Carvalhos (MG);277.41;0.5;26.76
Casa Branca (SP);684.29;0.53;15.6
Casa Grande (MG);304.43;0.48;34.42
Casa Nova (BA);175.6;0.55;54.66
Cascalho Rico (MG);431.98;0.49;17.99
Casca (RS);773.9;0.51;15.9
Cascavel (CE);228.76;0.49;36.19
Cascavel (PR);695.48;0.57;20.4
Caseara (TO);235.27;0.6;37.41
Caseiros (RS);344.8;0.56;22.7
Casimiro de Abreu (RJ);566.64;0.51;19.21
Casinhas (PE);161.21;0.5;71.52
Casserengue (PB);92.01;0.49;55.99
Cássia dos Coqueiros (SP);463.7;0.54;15.1
Cássia (MG);517.09;0.52;18.79
Cassilândia (MS);528.39;0.54;21.86
Castanhal (PA);321.14;0.56;27.12
Castanheira (MT);345.89;0.54;25.29
Castanheiras (RO);310.67;0.51;27.61
Castelândia (GO);437.76;0.58;23.7
Castelo do Piauí (PI);145.34;0.54;43.76
Castelo (ES);514.86;0.54;12.91
Castilho (SP);377.55;0.53;22.3
Castro Alves (BA);167.36;0.57;36.1
Castro (PR);460.48;0.63;28
Cataguases (MG);505.27;0.55;19.59
Catalão (GO);600.38;0.55;19.9
Catanduva (SP);757.21;0.51;17.9
Catanduvas (PR);375.76;0.62;33.78
Catanduvas (SC);552.3;0.57;27.6
Catarina (CE);122.72;0.51;60.96
Catas Altas da Noruega (MG);178.12;0.51;36.5
Catas Altas (MG);312.29;0.45;18.42
Catende (PE);209.93;0.55;52.57
Catiguá (SP);484.55;0.42;18.3
Catingueira (PB);149.33;0.54;52.82
Catolândia (BA);125.66;0.53;39.64
Catolé do Rocha (PB);220.03;0.53;35.92
Catu (BA);294.78;0.55;39.85
Catuípe (RS);507.06;0.56;13.7
Catuji (MG);168.89;0.54;43.34
Catunda (CE);107.87;0.53;45.65
Caturaí (GO);304.88;0.44;28
Caturama (BA);119.83;0.55;46.02
Caturité (PB);170.16;0.43;44.27
Catuti (MG);121.74;0.5;44.94
Caucaia (CE);260.56;0.51;30.5
Cavalcante (GO);190.08;0.61;32.7
Caxambu do Sul (SC);698.49;0.54;22.8
Caxambu (MG);528.99;0.61;18.33
Caxias do Sul (RS);967.79;0.48;15.4
Caxias (MA);206.26;0.55;48.15
Caxingó (PI);107.66;0.5;63.19
Ceará-Mirim (RN);207.45;0.51;48.86
Cedral (MA);116.05;0.47;51.47
Cedral (SP);567.38;0.47;12.5
Cedro (CE);189;0.58;52.46
Cedro de São João (SE);202.16;0.51;38.76
Cedro do Abaeté (MG);274.58;0.4;24.92
Cedro (PE);185.05;0.56;55.39
Celso Ramos (SC);256.18;0.4;28.1
Centenário do Sul (PR);343.71;0.49;25.4
Centenário (RS);280.53;0.48;17.8
Centenário (TO);138.82;0.62;46.11
Central (BA);168.62;0.56;59.87
Central de Minas (MG);286.81;0.54;32.82
Central do Maranhão (MA);120.85;0.54;55.92
Centralina (MG);354.07;0.46;28.49
Centro do Guilherme (MA);120.34;0.56;63.93
Centro Novo do Maranhão (MA);127.08;0.56;53.01
Cerejeiras (RO);511.47;0.6;27.5
Ceres (GO);584.82;0.58;20.4
Cerqueira César (SP);524.69;0.5;24.6
Cerquilho (SP);826.27;0.51;16.5
Cerrito (RS);329.55;0.48;21
Cerro Azul (PR);245.88;0.54;27.29
Cerro Branco (RS);398.29;0.51;22
Cerro Corá (RN);139.45;0.54;56.59
Cerro Grande do Sul (RS);333.17;0.52;18.5
Cerro Grande (RS);275.41;0.49;28.6
Cerro Largo (RS);489.08;0.51;15.3
Cerro Negro (SC);213.16;0.55;31
Cesário Lange (SP);460.44;0.47;19.9
Céu Azul (PR);520.25;0.55;26.69
Cezarina (GO);366.5;0.5;24.5
Chácara (MG);353.06;0.5;24.08
Chã de Alegria (PE);132.88;0.45;52.58
Chã Grande (PE);190.04;0.55;54.2
Chalé (MG);288.48;0.45;25.8
Chapada da Natividade (TO);293.29;0.62;37.75
