RENDA;GINI;CMI
277.65;0.57;35.33
284.54;0.47;24.2
817.76;0.41;13.31
473.49;0.47;18.21
308.4;0.56;40.98
147.21;0.45;52.58
175.14;0.53;50.13
181.64;0.44;33.68
119.37;0.57;51.32
238.86;0.58;28.33
154.48;0.52;35.11
347.33;0.51;29.4
581.57;0.48;23.6
433.7;0.52;24.4
123.43;0.56;50.07
194.87;0.6;55.92
248.59;0.41;31.7
143.81;0.54;56.28
125.97;0.56;46.16
145.99;0.56;61.26
107.6;0.54;60.48
116.72;0.62;27
82.03;0.57;45.71
99.74;0.5;56.56
488.75;0.57;33.81
458.05;0.5;32.95
453.19;0.45;21
208.76;0.52;39.57
432.61;0.47;22.3
160.79;0.53;47.6
173.23;0.47;51.45
341.75;0.58;29.51
142.55;0.39;46.22
133.14;0.54;50.02
187.65;0.5;38.73
283.91;0.49;24.94
86.79;0.53;48.9
293.23;0.56;34
611.5;0.66;34.54
342.46;0.58;31.99
270.17;0.53;40.97
630.38;0.55;16.67
571.6;0.58;27.97
361.53;0.43;24.3
545.71;0.46;18.5
221.03;0.58;47.24
542.59;0.53;20.6
453.2;0.54;18.4
723.04;0.52;16.2
447.09;0.56;27.61
356.93;0.52;24.4
442.8;0.55;25.29
533.77;0.59;26.9
239.23;0.59;40.57
414.89;0.46;24.21
321.63;0.47;30.4
386.44;0.46;19.78
155.69;0.53;43.3
209.79;0.6;35.11
100.36;0.58;46.14
146.09;0.51;43.64
570;0.57;14
439.47;0.48;22.9
485.31;0.53;22.38
76.32;0.48;48.79
555.87;0.54;16.5
438.38;0.49;17.66
247.57;0.53;47.66
628.97;0.46;15.2
103.17;0.47;45.13
544.76;0.54;25.83
133.23;0.49;48.28
123.96;0.58;44.55
78.85;0.53;69.03
142.84;0.6;54.52
337.7;0.51;25.5
456.63;0.57;21.27
493.61;0.53;17.8
550.81;0.58;22.2
299.03;0.62;31.05
121.08;0.54;65.59
466.19;0.45;29.02
129.49;0.5;46.22
512.58;0.5;23.77
109.32;0.56;75.24
205.7;0.63;31.05
178.21;0.58;54.59
313.98;0.4;28
587.75;0.52;28.2
620.25;0.53;17.3
400.1;0.48;28.3
329.55;0.4;18.6
400.49;0.49;31.15
372.39;0.55;22.7
411.94;0.52;20.2
567.75;0.55;19.5
132.08;0.47;48.25
153.85;0.49;59.46
147.99;0.51;55.44
415.22;0.57;17.7
409.68;0.56;22.51
648.98;0.47;16.8
165.54;0.49;36.81
288.27;0.48;28.6
618.93;0.54;23.1
79.31;0.49;57.11
84.59;0.45;54.74
347.32;0.53;24.5
117.84;0.49;51.12
296.35;0.61;32.57
134.98;0.52;44.55
485.4;0.47;18.9
127.46;0.46;62.14
119.32;0.59;56.28
279.76;0.43;33.72
552.71;0.52;19.9
142.25;0.53;76.17
264.85;0.67;47.39
135.39;0.47;59.14
517.5;0.54;16.44
698.72;0.54;26.2
488.23;0.47;23.4
122.43;0.55;48.34
138.47;0.55;53.45
405.51;0.52;30.59
197.62;0.47;36.4
135.53;0.54;73.83
258.72;0.64;49.21
334.43;0.53;34.32
239.88;0.46;27.52
145.33;0.46;48.6
150.6;0.54;36.91
506.23;0.52;20.19
462.09;0.56;25.14
528.6;0.55;17.8
346.83;0.53;34.81
586.14;0.46;18.1
411.87;0.5;18.3
481.93;0.52;26.3
526.73;0.45;20.99
412.58;0.51;20.69
474.88;0.46;23.5
393.34;0.53;17.26
518.33;0.46;20.19
528.65;0.59;16.35
138.85;0.58;36.52
196.83;0.56;55.86
233.37;0.56;59.51
271.77;0.53;32.77
556.15;0.54;19.83
158.19;0.49;59.52
447.32;0.39;11.2
302.37;0.43;27.4
173.64;0.49;41.53
453.11;0.52;21.91
248.24;0.51;27
376.46;0.55;27.3
316.73;0.45;19.1
399.82;0.53;24.5
229.43;0.52;32.77
426.01;0.49;20.2
449.24;0.61;32.57
280.44;0.61;35.18
109.8;0.55;48.77
544.03;0.53;17.4
1223.77;0.56;18.06
541.66;0.53;15.91
325.63;0.54;28.4
147.16;0.47;44.22
596.02;0.7;27.1
185.85;0.61;46.26
96.2;0.65;51.12
435.48;0.49;24
216.94;0.58;38.39
294.73;0.52;30.8
482.12;0.51;19.07
726.27;0.46;15.3
241.69;0.52;31.59
216.94;0.55;27.54
391.69;0.47;22.25
284.74;0.49;29.02
334.69;0.54;26.9
488.48;0.52;24.92
178.76;0.57;50.89
114.38;0.58;50.57
122.69;0.48;49.76
782.39;0.59;24.44
78.44;0.51;49.93
530.78;0.47;20.69
301.89;0.45;25.2
667.87;0.46;17.4
449.09;0.43;26.6
237.51;0.56;34.57
559.12;0.54;23.6
385.24;0.67;31.02
657.92;0.56;25.75
343.14;0.56;20
170.89;0.56;47.18
490.98;0.52;16.36
290.2;0.59;31.2
430.77;0.53;22.6
611.58;0.62;19.02
741.15;0.54;22.1
490.87;0.56;18.21
411.66;0.51;22.02
211.95;0.67;57.33
390.78;0.48;19.4
504.63;0.57;20.1
245.47;0.58;44.54
278.73;0.55;34.3
691.16;0.63;19.82
157.79;0.53;47.66
335.44;0.55;35.75
221.87;0.53;36.29
349.71;0.52;32.99
478.57;0.57;17.1
90.55;0.6;57.74
164.6;0.49;41.57
386.34;0.5;21.73
180.71;0.58;54.59
598.73;0.61;27.3
323.6;0.43;27.1
377.26;0.45;22.88
97.67;0.51;44.97
246.32;0.56;42.13
143.49;0.44;42.81
300.03;0.54;38.73
384.79;0.52;28.31
433.97;0.48;27.5
395.23;0.55;17.7
140.48;0.5;32.89
220.44;0.57;34.12
380.24;0.53;13.1
120.85;0.44;51.47
519.14;0.52;18.1
447.76;0.44;19.5
223;0.5;42.75
487.24;0.51;17.9
355.87;0.54;36.8
611.63;0.51;18.3
505.59;0.44;25.3
148.79;0.49;58.34
349.75;0.5;20.2
132.42;0.52;54.16
169.06;0.52;69.72
153.77;0.58;42.64
187.14;0.55;52.43
301.02;0.4;23.7
703.5;0.51;15.3
500.86;0.55;23.7
139.37;0.65;54.5
206.59;0.61;35.42
298.39;0.61;36.99
511.26;0.56;17.37
89.98;0.55;48.79
245.1;0.57;27.6
205.42;0.57;45.01
136.36;0.53;60.08
367.82;0.44;15.5
130.91;0.61;51.85
281.25;0.58;27.12
460.51;0.5;29.02
347.71;0.51;35.4
429.47;0.52;26.1
379.53;0.55;23.7
614.43;0.51;15
328.46;0.61;13.8
